,region,year,athelets_total,medals_total,gdppc_by_year
0,China,1970.0,66.0,0.0,778.0
1,Denmark,1970.0,231.0,9.0,12686.0
2,Netherlands,1970.0,315.0,17.0,11967.0
3,Finland,1970.0,241.0,16.0,9577.0
4,Norway,1970.0,240.0,14.0,10027.0
5,Romania,1970.0,498.0,94.0,2853.0
6,Estonia,1970.0,0.0,0.0,5575.0
7,France,1970.0,599.0,42.0,11410.0
8,Morocco,1970.0,28.0,0.0,1616.0
9,Spain,1970.0,314.0,7.0,6319.0
10,Egypt,1970.0,52.0,0.0,1254.0
11,Iran,1970.0,160.0,5.0,4189.0
12,Bulgaria,1970.0,470.0,61.0,4773.0
13,Italy,1970.0,648.0,56.0,9719.0
14,Sudan,1970.0,2.0,0.0,888.0
15,Russia,1970.0,1071.0,489.0,5575.0
16,Argentina,1970.0,217.0,1.0,7302.0
17,Cuba,1970.0,393.0,46.0,1917.0
18,Greece,1970.0,101.0,2.0,6211.0
19,Cameroon,1970.0,18.0,0.0,982.0
20,Turkey,1970.0,76.0,1.0,3078.0
21,Chile,1970.0,19.0,0.0,5231.0
22,Mexico,1970.0,403.0,3.0,4320.0
23,United States of America,1970.0,1126.0,335.0,15030.0
24,Nicaragua,1970.0,21.0,0.0,2812.0
25,Hungary,1970.0,651.0,136.0,5028.0
26,Nigeria,1970.0,33.0,1.0,1094.0
27,Algeria,1970.0,6.0,0.0,2249.0
28,Kuwait,1970.0,19.0,0.0,30695.0
29,Bahrain,1970.0,0.0,0.0,3788.0
30,Pakistan,1970.0,42.0,31.0,952.0
31,Iraq,1970.0,0.0,0.0,3473.0
32,Syria,1970.0,5.0,0.0,3540.0
33,Qatar,1970.0,0.0,0.0,32573.0
34,Malaysia,1970.0,61.0,0.0,2079.0
35,Germany,1970.0,1887.0,522.0,10839.0
36,Canada,1970.0,811.0,31.0,12050.0
37,Ireland,1970.0,141.0,0.0,6199.0
38,Australia,1970.0,524.0,42.0,12024.0
39,South Africa,1970.0,0.0,0.0,4045.0
40,Tanzania,1970.0,20.0,0.0,568.0
41,Jordan,1970.0,0.0,0.0,2395.0
42,Tunisia,1970.0,48.0,1.0,1827.0
43,Libya,1970.0,0.0,0.0,9115.0
44,Belgium,1970.0,250.0,11.0,10611.0
45,Kazakhstan,1970.0,0.0,0.0,5575.0
46,Brunei,1970.0,0.0,0.0,2082.0
47,India,1970.0,66.0,14.0,868.0
48,Saudi Arabia,1970.0,33.0,0.0,7624.0
49,Maldives,1970.0,0.0,0.0,2082.0
50,Ethiopia,1970.0,40.0,2.0,595.0
51,United Arab Emirates,1970.0,0.0,0.0,24552.0
52,Yemen,1970.0,0.0,0.0,1230.0
53,Indonesia,1970.0,13.0,0.0,1181.0
54,Philippines,1970.0,88.0,0.0,1764.0
55,Kyrgyzstan,1970.0,0.0,0.0,5575.0
56,Tajikistan,1970.0,0.0,0.0,5575.0
57,Japan,1970.0,604.0,97.0,9714.0
58,Congo,1970.0,7.0,0.0,1696.0
59,Switzerland,1970.0,362.0,18.0,16904.0
60,Brazil,1970.0,191.0,5.0,3057.0
61,Israel,1970.0,48.0,0.0,8101.0
62,Uruguay,1970.0,25.0,0.0,5184.0
63,Sweden,1970.0,347.0,32.0,13011.0
64,Sri Lanka,1970.0,6.0,0.0,1499.0
65,Armenia,1970.0,0.0,0.0,5575.0
66,Ivory Coast,1970.0,16.0,0.0,1808.0
67,Kenya,1970.0,66.0,12.0,915.0
68,Benin,1970.0,2.0,0.0,1027.0
69,United Kingdom,1970.0,757.0,58.0,10767.0
70,Ghana,1970.0,37.0,1.0,1424.0
71,Niger,1970.0,0.0,0.0,839.0
72,Mali,1970.0,3.0,0.0,586.0
73,Afghanistan,1970.0,3.0,0.0,709.0
74,Poland,1970.0,704.0,119.0,4428.0
75,Costa Rica,1970.0,14.0,0.0,3754.0
76,Panama,1970.0,14.0,0.0,3814.0
77,Slovenia,1970.0,0.0,0.0,6567.3008
78,Guyana,1970.0,4.0,0.0,4948.0
79,New Zealand,1970.0,157.0,37.0,11189.0
80,Portugal,1970.0,57.0,2.0,5473.0
81,Paraguay,1970.0,5.0,0.0,1872.0
82,Angola,1970.0,0.0,0.0,1768.0
83,Venezuela,1970.0,74.0,1.0,10672.0
84,Colombia,1970.0,115.0,3.0,3094.0
85,Bangladesh,1970.0,0.0,0.0,630.0
86,Peru,1970.0,42.0,0.0,3854.0
87,El Salvador,1970.0,8.0,0.0,2187.0
88,Uganda,1970.0,35.0,2.0,867.0
89,Honduras,1970.0,3.0,0.0,1556.0
